variant,rho,perturbation_level,tau,n,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,Active (%),node_count,time,lambda_value
exact_adversarial_path,0.45,0.0,0.6,100,opt,-16.0096551724138,-17.73828833523481,0.1079744157013208,-16.009655248592132,-16.317227425101756,0.019211667692636318,51.0,51.0,16400931.0,600.0056151866913,0.18
exact_adversarial_path,0.45,0.0,0.6,100,original,-14.827241256130858,-21.024949618930915,0.417994706887054,-16.009655172413794,-18.86845690428185,0.17856735208101474,51.0,51.0,21757580.2,600.0054831981658,0.18
exact_adversarial_path,0.45,0.0,0.6,100,tree,-16.0096551724138,,0.0,-16.0096551724138,,,51.0,51.0,0.0,0.08588829040527338,0.18
exact_adversarial_path,0.45,0.0,0.6,1000,opt,-154.2579310344812,-176.77437383133318,0.1459661921163644,-160.00965517241076,-176.29644831601573,0.10178631486991144,501.0,50.1,1896469.4,600.0076070308685,0.18
exact_adversarial_path,0.45,0.0,0.6,1000,original,-110.82536861067665,-210.30044104928362,0.8975839528949127,-160.00965517241394,-209.44341386260407,0.308942348740919,501.0,50.1,2380792.2,600.0147441864013,0.18
exact_adversarial_path,0.45,0.0,0.6,1000,tree,-160.0096551724118,,0.0,-160.0096551724118,,,501.0,50.1,0.0,0.6091835021972656,0.18
exact_adversarial_path,0.45,0.0,0.7,100,opt,-12.750000000000044,-12.75000000000004,0.0,-12.750000000000044,-12.75000000000004,2.7864421010199913e-16,50.0,50.0,1.0,1.411586618423462,0.24499999999999994
exact_adversarial_path,0.45,0.0,0.7,100,original,-11.224553513599828,-19.2201334794065,0.7123294442063208,-12.75,-16.768599227839875,0.31518425316391163,50.0,50.0,21269266.8,600.1294379711151,0.24499999999999994
exact_adversarial_path,0.45,0.0,0.7,100,tree,-12.750000000000009,,0.0,-12.750000000000009,,,50.0,50.0,0.0,0.10395584106445308,0.24499999999999994
exact_adversarial_path,0.45,0.0,0.7,1000,opt,-127.49999999999773,-127.49999999999814,0.0,-127.49999999999773,-127.49999999999814,3.0093574691016544e-15,500.0,50.0,1.0,0.5068143844604492,0.24499999999999994
exact_adversarial_path,0.45,0.0,0.7,1000,original,-86.01261789784479,-192.6706729207247,1.2400280055369928,-127.49999999999984,-191.83116321360984,0.5045581428518441,500.0,50.0,1991236.8,600.0066511631012,0.24499999999999994
exact_adversarial_path,0.45,0.0,0.7,1000,tree,-127.49999999999916,,0.0,-127.49999999999916,,,500.0,50.0,0.0,0.5285984516143799,0.24499999999999994
exact_adversarial_path,0.45,0.0,0.8,100,opt,-8.999999999999986,-8.999999999999986,0.0,-8.999999999999986,-8.999999999999986,0.0,50.0,50.0,1.0,2.048735570907593,0.32
exact_adversarial_path,0.45,0.0,0.8,100,original,-6.567891861711159,-17.199867320724596,1.6187805284972288,-9.0,-14.583033118110901,0.6203370131234334,50.0,50.0,19745207.2,600.0312143802643,0.32
exact_adversarial_path,0.45,0.0,0.8,100,tree,-8.99999999999999,,0.0,-8.99999999999999,,,50.0,50.0,0.0,0.09346213340759275,0.32
exact_adversarial_path,0.45,0.0,0.8,1000,opt,-90.00000000000006,-90.00000000000097,0.0,-90.00000000000006,-90.00000000000097,1.0105496686365863e-14,500.0,50.0,1.0,0.4873936176300049,0.32
exact_adversarial_path,0.45,0.0,0.8,1000,original,-58.28312448675242,-173.33609106260553,1.9740356679402846,-89.99999999999989,-172.4839012610497,0.9164877917894436,500.0,50.0,1772636.2,600.0042677879334,0.32
exact_adversarial_path,0.45,0.0,0.8,1000,tree,-90.00000000000088,,0.0,-90.00000000000088,,,500.0,50.0,0.0,0.5248749256134033,0.32
exact_adversarial_path,0.45,0.0,0.9,100,opt,-4.7499999999999964,-4.7499999999999964,0.0,-4.7499999999999964,-4.7499999999999964,0.0,50.0,50.0,1.0,0.8665732860565185,0.4050000000000001
exact_adversarial_path,0.45,0.0,0.9,100,original,-2.680364539309089,-15.147571679533462,4.651310281637294,-4.749999999999993,-12.306066494565783,1.5907508409612214,50.0,50.0,19616860.2,600.0504260540008,0.4050000000000001
exact_adversarial_path,0.45,0.0,0.9,100,tree,-4.749999999999993,,0.0,-4.749999999999993,,,50.0,50.0,0.0,0.11182098388671871,0.4050000000000001
exact_adversarial_path,0.45,0.0,0.9,1000,opt,-47.49999999999943,-47.50000000000049,0.0,-47.49999999999943,-47.50000000000049,2.2288603711211832e-14,500.0,50.0,1.0,0.46602597236633303,0.4050000000000001
exact_adversarial_path,0.45,0.0,0.9,1000,original,-20.995000000000005,-152.65453380800864,6.270994703882287,-47.40499999999986,-151.76409262697754,2.201436401792596,499.0,49.9,1793453.8,600.0043555259705,0.4050000000000001
exact_adversarial_path,0.45,0.0,0.9,1000,tree,-47.49999999999966,,0.0,-47.49999999999966,,,500.0,50.0,0.0,0.520109224319458,0.4050000000000001
