n,delta,formulation,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.01,opt,0.22497891592367097,0.22497891479225407,4.148652055636041e-09,13.0,1.0,0.04432859420776362
100,0.01,original,0.22497891592349584,0.2249789159234959,-2.037004315597781e-16,13.0,16974.4,0.36874599456787105
100,0.1,opt,0.35358774698414985,0.3535821683789703,1.538027516284799e-05,16.6,1.0,0.07665138244628902
100,0.1,original,0.3535877469868239,0.2938315046912377,0.16854127009079198,16.6,8345666.8,600.0037439346313
100,0.5,opt,0.3641098565780107,0.36410739119795715,6.88774225971621e-06,15.2,6583.2,4.6043068885803216
100,0.5,original,0.3641098565777701,0.2965702810457201,0.18466407798537823,15.2,8792480.4,600.0042153835296
500,0.01,opt,0.42441200691045317,0.4244120041269056,6.249022932993653e-09,27.0,1.0,0.14218673706054683
500,0.01,original,0.424412006910456,0.2716169248910485,0.35954692634334984,27.0,2486604.2,600.0038029670716
500,0.1,opt,0.46690822696489886,0.4669082269648994,-1.163794791511326e-15,19.6,1.0,1.7232990264892578
500,0.1,original,0.4669082269643005,0.29113554194817237,0.3764360955581084,19.6,703147.8,600.0081788539886
500,0.5,opt,0.4719318458490306,0.4719289151733041,6.206783553332322e-06,18.6,1139.8,20.63734827041626
500,0.5,original,0.47193184584872416,0.28809328040418675,0.38939905844845246,18.6,319801.4,600.0140853881836
1000,0.01,opt,0.47718116138443456,0.47718116138443456,-1.2234433368985904e-16,18.0,0.6,0.31105704307556153
1000,0.01,original,0.4771811613846125,0.3086235066198835,0.35363217558012316,18.0,789650.6,600.0089247703552
1000,0.1,opt,0.48713448565913675,0.45029397436360546,0.07657294862210254,13.4,4584.4,133.42912163734437
1000,0.1,original,0.48713448805788245,0.3123966026035244,0.35912024858711533,13.4,163548.2,600.0195152282715
1000,0.5,opt,0.48909940918353934,0.4176198679856903,0.14846779369762775,10.8,2341.6,297.9225250244141
1000,0.5,original,0.4890994097126934,0.3218714819673949,0.3426785543524664,10.8,66065.6,600.0306760787964
