p,n,rep,k,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,support_size,node_count,time,status
500,250,0,5,original,5.86211112042249,0.16140614244933713,0.9724662089930318,5.852390319127282,1.2824015905145483,0.7808755874803336,5.0,2025.0,79.76760792732239,11
500,250,0,5,core,7.537882860756391,0.1960408451345008,0.9739925853511036,5.852390319127283,2.186802667084623,0.6263402562304282,5.0,3647.0,600.376237154007,9
500,250,0,10,original,3.7819435089023816,0.09011464071130483,0.97617239905906,3.6907047453623605,1.1164481609549384,0.6974972971333356,10.0,17534.0,600.260115146637,9
500,250,0,10,core,9.487895462357862,0.0946461824438361,0.99002453359448,3.8287783342214086,0.223638388460747,0.941590144704414,10.0,1946.0,600.3130328655243,9
500,250,0,15,original,,,,9.491948228572163,-6709.199507919052,707.8306048829231,0.0,1.0,1059.1706051826477,9
500,250,0,15,core,,,,,-6709.199507919052,,,1.0,991.1823601722717,9
500,250,0,20,original,0.2073050922439954,0.05898196369952789,0.7154823209547265,0.2073050922439954,0.2073050922439954,0.0,20.0,11431.0,580.6244988441467,2
500,250,0,20,core,8.79791370633464,0.06004197580034132,0.9931754302435235,0.20730509224400429,0.0755001234368078,0.6358018868733727,20.0,1046.0,3850.553990125656,9
500,250,0,25,original,0.19646239609900817,0.053849457940134446,0.7259045038166145,0.19428398637032274,0.05450196721519178,0.7194726738244595,25.0,121.0,3648.627860069275,9
500,250,0,25,core,,,,,-6709.199507919052,,,1.0,1060.2834630012512,9
500,250,0,30,original,0.19023135435673488,0.0516161549958806,0.7286664168984128,0.18175023617439834,0.051931288054589686,0.714271138526835,30.0,218.0,1066.7536900043488,9
500,250,0,30,core,,,,,-6709.199507919052,,,1.0,924.2168669700623,9
500,250,0,40,original,6.811606861913868,0.050199413194417376,0.9926303126102153,6.811606861913868,0.050199413194417376,0.9926303126102153,40.0,1.0,1811.361258983612,9
500,250,0,40,core,,,,,-6709.199507919052,,,1.0,956.2094869613647,9
500,250,0,50,original,,,,9.491948228572163,-6709.199507919052,707.8306048829231,0.0,1.0,3893.73184800148,9
500,250,0,50,core,,,,,-6709.199507919052,,,1.0,953.9217150211334,9
500,250,0,75,original,,,,9.491948228572163,-6709.199507919052,707.8306048829231,0.0,1.0,970.9118549823761,9
500,250,0,75,core,,,,,-6709.199507919052,,,1.0,961.9831879138947,9
500,250,0,100,original,,,,9.491948228572163,0.05004860774787545,0.9947272565607531,0.0,1.0,1035.6128289699554,9
500,250,0,100,core,,,,,-6709.199507919052,,,1.0,4430.749206781387,9
500,250,1,5,original,6.41520265714388,5.993647461491475,0.0657119062611321,6.41520265714388,6.41520265714388,0.0,5.0,186.0,5.207243919372559,2
500,250,1,5,core,,,,10.840767513635363,-273.56327350545877,26.23467763342169,0.0,1.0,1352.966197013855,9
500,250,1,10,original,3.993873541555179,2.8733990503234157,0.2805483147058934,3.993873541555179,3.275121166155813,0.1799637289265524,10.0,818.0,1981.3871569633484,9
500,250,1,10,core,,,,10.840767513635363,-273.56327350545877,26.23467763342169,0.0,1.0,1813.1778180599213,9
500,250,1,15,original,2.0837044537772407,0.8427794883013682,0.5955378956100912,2.0837044537772407,1.7081716984850392,0.18022361789909958,15.0,877.0,1843.4552791118622,9
500,250,1,15,core,,,,10.840767513635363,-273.56327350545877,26.23467763342169,0.0,1.0,3658.708268880844,9
500,250,1,20,original,0.33019101263291084,0.27485626680906483,0.1675840459212144,0.33019101263291084,0.33019101263291084,0.0,20.0,23.0,3.7645070552825928,2
500,250,1,20,core,,,,,-273.56327350545877,,,0.0,3651.375215768814,9
500,250,1,25,original,0.28849053473886777,0.1959068542522657,0.3209244995521458,0.2837651965442962,0.21925211586136922,0.2273466988502108,25.0,387.0,970.2404749393463,9
500,250,1,25,core,,,,,-273.56327350545877,,,0.0,924.9047708511353,9
500,250,1,30,original,0.26555583761718005,0.1543976565535172,0.41858684810350977,0.2632281750809575,0.1543976565535172,0.4134455534403519,30.0,1.0,974.4374878406525,9
500,250,1,30,core,,,,,-273.56327350545877,,,0.0,783.8433690071106,9
500,250,1,40,original,0.2250265647977816,0.10901912219124683,0.5155277676250534,0.2136974568136747,0.13055069481599643,0.3890863430825707,40.0,11395.0,600.2075960636139,9
500,250,1,40,core,10.840767513635363,0.11106715515369106,0.9897546778847538,1.797101998349314,0.13165158299537252,0.9267422866836172,40.0,18472.0,600.1217110157013,9
