n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,active_pct,node_count,time,variant,rho,perturbation_level,seed,lambda_value,status,instance_path
100,0.6,2,original,-14.827241256130861,-21.024949618930915,0.417994706887054,-16.009655172413794,-18.89362990018699,0.18013971548510102,51,51.0,18677865.0,600.0069139003754,exact_adversarial_path,0.45,0.0,1538544569,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.6,2,opt,-16.0096551724138,-17.73828833523481,0.10797441570132081,-16.009655248592132,-16.339377141334953,0.02059519006643297,51,51.0,13946221.0,600.0042581558228,exact_adversarial_path,0.45,0.0,1538544569,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.6,2,tree,,,,-16.0096551724138,,,51,51.0,0.0,0.06753301620483398,exact_adversarial_path,0.45,0.0,1538544569,0.18,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.6/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.7,2,original,-11.224553513599828,-19.2201334794065,0.7123294442063208,-12.75,-16.783779224472763,0.31637484113511866,50,50.0,19636105.0,600.004879951477,exact_adversarial_path,0.45,0.0,1538544569,0.24499999999999997,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.7,2,opt,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,-12.750000000000043,-12.750000000000039,2.7864421010199913e-16,50,50.0,1.0,0.06759405136108398,exact_adversarial_path,0.45,0.0,1538544569,0.24499999999999997,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.7,2,tree,,,,-12.750000000000009,,,50,50.0,0.0,0.053403615951538086,exact_adversarial_path,0.45,0.0,1538544569,0.24499999999999997,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.7/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.8,2,original,-6.567891861711159,-17.199867320724596,1.6187805284972288,-9.0,-14.60118198934128,0.6223535543712533,50,50.0,17819420.0,600.0041778087616,exact_adversarial_path,0.45,0.0,1538544569,0.32000000000000006,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.8,2,opt,-8.999999999999986,-8.999999999999986,0.0,-8.999999999999986,-8.999999999999986,0.0,50,50.0,1.0,2.525718927383423,exact_adversarial_path,0.45,0.0,1538544569,0.32000000000000006,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.8,2,tree,,,,-8.99999999999999,,,50,50.0,0.0,0.05387067794799805,exact_adversarial_path,0.45,0.0,1538544569,0.32000000000000006,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.8/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.9,2,original,-2.680364539309089,-15.147571679533465,4.651310281637294,-4.749999999999993,-12.32585126829407,1.5949160564829659,50,50.0,17915975.0,600.0028741359711,exact_adversarial_path,0.45,0.0,1538544569,0.405,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.9/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.9,2,opt,-4.7499999999999964,-4.7499999999999964,0.0,-4.7499999999999964,-4.7499999999999964,0.0,50,50.0,1.0,1.7415921688079834,exact_adversarial_path,0.45,0.0,1538544569,0.405,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.9/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
100,0.9,2,tree,,,,-4.749999999999993,,,50,50.0,0.0,0.05348324775695801,exact_adversarial_path,0.45,0.0,1538544569,0.405,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=100/rho=0.45/tau=0.9/perturb=0/inst_n100_exact_adversarial_path_rep02.npz
1000,0.6,2,original,-110.82536861067666,-210.3004410492836,0.8975839528949127,-160.00965517241394,-209.46784408653528,0.3090950284270599,501,50.1,2077288.0,600.0161290168762,exact_adversarial_path,0.45,0.0,1904159718,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.6/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.6,2,opt,-154.2579310344812,-176.77437383133318,0.1459661921163644,-160.00965517241076,-176.3170794056951,0.10191525139975491,501,50.1,1604667.0,600.0102851390839,exact_adversarial_path,0.45,0.0,1904159718,0.18,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.6/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.6,2,tree,,,,-160.0096551724118,,,501,50.1,0.0,0.6194088459014893,exact_adversarial_path,0.45,0.0,1904159718,0.18,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.6/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.7,2,original,-86.01261789784479,-192.6706729207247,1.2400280055369928,-127.49999999999983,-191.8619016335615,0.5047992284985235,500,50.0,1666849.0,600.0070109367371,exact_adversarial_path,0.45,0.0,1904159718,0.24499999999999997,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.7/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.7,2,opt,-127.49999999999773,-127.49999999999811,3.0093574691016544e-15,-127.49999999999773,-127.49999999999811,3.0093574691016544e-15,500,50.0,1.0,0.5669510364532471,exact_adversarial_path,0.45,0.0,1904159718,0.24499999999999997,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.7/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.7,2,tree,,,,-127.49999999999915,,,500,50.0,0.0,0.5369794368743896,exact_adversarial_path,0.45,0.0,1904159718,0.24499999999999997,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.7/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.8,2,original,-58.28312448675243,-173.33609106260553,1.9740356679402848,-89.99999999999989,-172.51967860603258,0.9168853178448089,500,50.0,1546725.0,600.0036449432373,exact_adversarial_path,0.45,0.0,1904159718,0.32000000000000006,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.8/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.8,2,opt,-90.00000000000006,-90.00000000000097,1.0105496686365863e-14,-90.00000000000006,-90.00000000000097,1.0105496686365863e-14,500,50.0,1.0,0.4840219020843506,exact_adversarial_path,0.45,0.0,1904159718,0.32000000000000006,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.8/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.8,2,tree,,,,-90.00000000000088,,,500,50.0,0.0,0.519913911819458,exact_adversarial_path,0.45,0.0,1904159718,0.32000000000000006,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.8/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.9,2,original,-20.995000000000005,-152.65453380800864,6.270994703882287,-47.40499999999986,-151.77329158327302,2.201630452131072,499,49.9,1684622.0,600.0038049221039,exact_adversarial_path,0.45,0.0,1904159718,0.405,9.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.9/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.9,2,opt,-47.49999999999943,-47.50000000000049,2.2288603711211832e-14,-47.49999999999943,-47.50000000000049,2.2288603711211832e-14,500,50.0,1.0,0.48546886444091797,exact_adversarial_path,0.45,0.0,1904159718,0.405,2.0,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.9/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
1000,0.9,2,tree,,,,-47.49999999999966,,,500,50.0,0.0,0.5207111835479736,exact_adversarial_path,0.45,0.0,1904159718,0.405,,/gpfs/projects/p32811/QP_indicator/data/Q_path_adversarial/exact_adversarial_path/n=1000/rho=0.45/tau=0.9/perturb=0/inst_n1000_exact_adversarial_path_rep02.npz
